row_number,source_index,image_path,mask_path,dice,iou,sensitivity,specificity,precision,accuracy,relative_area_diff
29,234,/mnt/data/spathak/CLaM-Annot/1.2.826.0.1.3680043.2.526.11.40.1608721769240233.7741829.5041913/R MLO_1.2.826.0.1.3680043.2.526.11.40.1608721769240233.7796326.8652460/1.2.826.0.1.3680043.2.526.11.40.1608721769240233.7796324.4170087_processed.png,/mnt/data/spathak/CLaM-Annot/1.2.826.0.1.3680043.2.526.11.40.1608721769240233.7741829.5041913/R MLO_1.2.826.0.1.3680043.2.526.11.40.1608721769240233.7796326.8652460/1.2.826.0.1.3680043.2.526.11.40.1608721769240233.7796324.4170087_binarymask_R1.png,0.5766470971950424,0.40513290559120074,1.0,0.9950317691188854,0.40513290559120074,0.9950485229492188,1.4683257918552035
30,235,/mnt/data/spathak/CLaM-Annot/1.2.826.0.1.3680043.2.526.11.40.1608721769240233.7741829.5041913/R MLO_1.2.826.0.1.3680043.2.526.11.40.1608721769240233.7796326.8652460/1.2.826.0.1.3680043.2.526.11.40.1608721769240233.7796324.4170087_processed.png,/mnt/data/spathak/CLaM-Annot/1.2.826.0.1.3680043.2.526.11.40.1608721769240233.7741829.5041913/R MLO_1.2.826.0.1.3680043.2.526.11.40.1608721769240233.7796326.8652460/1.2.826.0.1.3680043.2.526.11.40.1608721769240233.7796324.4170087_binarymask_R2.png,0.0,0.0,0.0,0.9916653615942002,0.0,0.9903602600097656,5.3246376811594205
31,236,/mnt/data/spathak/CLaM-Annot/1.2.826.0.1.3680043.2.526.11.40.1608721769240233.10353328.107052/L CC_1.2.826.0.1.3680043.2.526.11.40.1608721769240233.11008744.616901/1.2.826.0.1.3680043.2.526.11.40.1608721769240233.11008742.204518_processed.png,/mnt/data/spathak/CLaM-Annot/1.2.826.0.1.3680043.2.526.11.40.1608721769240233.10353328.107052/L CC_1.2.826.0.1.3680043.2.526.11.40.1608721769240233.11008744.616901/1.2.826.0.1.3680043.2.526.11.40.1608721769240233.11008742.204518_binarymask_R1.png,0.853258321612752,0.7440719542109566,0.7526881720430108,0.9999463467913465,0.9848484848484849,0.9988059997558594,0.23573200992555832
32,237,/mnt/data/spathak/CLaM-Annot/1.2.826.0.1.3680043.2.526.11.40.1608721769240233.10353328.107052/L MLO_1.2.826.0.1.3680043.2.526.11.40.1608721769240233.10353329.698752/1.2.826.0.1.3680043.2.526.11.40.1608721769240233.10353325.650420_processed.png,/mnt/data/spathak/CLaM-Annot/1.2.826.0.1.3680043.2.526.11.40.1608721769240233.10353328.107052/L MLO_1.2.826.0.1.3680043.2.526.11.40.1608721769240233.10353329.698752/1.2.826.0.1.3680043.2.526.11.40.1608721769240233.10353325.650420_binarymask_R1.png,0.34197292069632496,0.20625291647223518,0.20625291647223518,1.0,1.0,0.9935111999511719,0.7937470835277648
33,238,/mnt/data/spathak/CLaM-Annot/1.2.826.0.1.3680043.2.526.11.40.1608721769240233.10353328.107052/L MLO_1.2.826.0.1.3680043.2.526.11.40.1608721769240233.10353329.698752/1.2.826.0.1.3680043.2.526.11.40.1608721769240233.10353325.650420_processed.png,/mnt/data/spathak/CLaM-Annot/1.2.826.0.1.3680043.2.526.11.40.1608721769240233.10353328.107052/L MLO_1.2.826.0.1.3680043.2.526.11.40.1608721769240233.10353329.698752/1.2.826.0.1.3680043.2.526.11.40.1608721769240233.10353325.650420_binarymask_R2.png,0.0,0.0,0.0,0.9983100164027819,0.0,0.9960136413574219,0.2669983416252073
34,241,/mnt/data/spathak/CLaM-Annot/1.2.826.0.1.3680043.2.526.11.40.1608721769240233.25046561.401430/L CC_1.2.826.0.1.3680043.2.526.11.40.1608721769240233.26327061.468451/1.2.826.0.1.3680043.2.526.11.40.1608721769240233.26327058.922597_processed.png,/mnt/data/spathak/CLaM-Annot/1.2.826.0.1.3680043.2.526.11.40.1608721769240233.25046561.401430/L CC_1.2.826.0.1.3680043.2.526.11.40.1608721769240233.26327061.468451/1.2.826.0.1.3680043.2.526.11.40.1608721769240233.26327058.922597_binarymask_R1.png,0.0,0.0,0.0,0.9991340498496082,0.0,0.9947166442871094,0.8050043140638481
35,243,/mnt/data/spathak/CLaM-Annot/1.2.826.0.1.3680043.2.526.11.40.1608721769240233.25046561.401430/L MLO_1.2.826.0.1.3680043.2.526.11.40.1608721769240233.27220492.256936/1.2.826.0.1.3680043.2.526.11.40.1608721769240233.27220488.679050_processed.png,/mnt/data/spathak/CLaM-Annot/1.2.826.0.1.3680043.2.526.11.40.1608721769240233.25046561.401430/L MLO_1.2.826.0.1.3680043.2.526.11.40.1608721769240233.27220492.256936/1.2.826.0.1.3680043.2.526.11.40.1608721769240233.27220488.679050_binarymask_R2.png,0.0,0.0,0.0,0.9990821442639753,0.0,0.9965476989746094,0.6390977443609023
36,258,/mnt/data/spathak/CLaM-Annot/1.2.826.0.1.3680043.2.526.11.40.1608721769240233.24960173.514467/L CC_1.2.826.0.1.3680043.2.526.11.40.1608721769240233.26317736.610035/1.2.826.0.1.3680043.2.526.11.40.1608721769240233.26317734.587303_processed.png,/mnt/data/spathak/CLaM-Annot/1.2.826.0.1.3680043.2.526.11.40.1608721769240233.24960173.514467/L CC_1.2.826.0.1.3680043.2.526.11.40.1608721769240233.26317736.610035/1.2.826.0.1.3680043.2.526.11.40.1608721769240233.26317734.587303_binarymask_R1.png,0.0,0.0,0.0,1.0,1.0,0.9819908142089844,1.0
37,259,/mnt/data/spathak/CLaM-Annot/1.2.826.0.1.3680043.2.526.11.40.1608721769240233.24960173.514467/L MLO_1.2.826.0.1.3680043.2.526.11.40.1608721769240233.26310825.756337/1.2.826.0.1.3680043.2.526.11.40.1608721769240233.26310823.631810_processed.png,/mnt/data/spathak/CLaM-Annot/1.2.826.0.1.3680043.2.526.11.40.1608721769240233.24960173.514467/L MLO_1.2.826.0.1.3680043.2.526.11.40.1608721769240233.26310825.756337/1.2.826.0.1.3680043.2.526.11.40.1608721769240233.26310823.631810_binarymask_R1.png,0.0,0.0,0.0,1.0,1.0,0.984619140625,1.0
38,282,/mnt/data/spathak/CLaM-Annot/1.2.826.0.1.3680043.2.526.11.40.16082154785849364.9168101.553679/R CC_1.2.826.0.1.3680043.2.526.11.40.16082154785849364.9247717.739855/1.2.826.0.1.3680043.2.526.11.40.16082154785849364.9247715.955158_processed.png,/mnt/data/spathak/CLaM-Annot/1.2.826.0.1.3680043.2.526.11.40.16082154785849364.9168101.553679/R CC_1.2.826.0.1.3680043.2.526.11.40.16082154785849364.9247717.739855/1.2.826.0.1.3680043.2.526.11.40.16082154785849364.9247715.955158_binarymask_R1.png,0.42872687704026113,0.27285318559556787,0.27285318559556787,1.0,1.0,0.9819755554199219,0.7271468144044322
