cached_image_finite_fraction,cached_image_max,cached_image_mean,cached_image_min,cached_image_nonzero_pixels,cached_image_numel,cached_image_shape,cached_image_std,cached_mask_finite_fraction,cached_mask_max,cached_mask_mean,cached_mask_min,cached_mask_nonzero_pixels,cached_mask_numel,cached_mask_shape,cached_mask_std,gt_positive_pixels_at_0.5,image_name,model_input_finite_fraction,model_input_max,model_input_mean,model_input_min,model_input_nonzero_pixels,model_input_numel,model_input_shape,model_input_std,possible_double_scaling,prediction_positive_pixels,probability_finite_fraction,probability_max,probability_mean,probability_min,probability_nonzero_pixels,probability_numel,probability_shape,probability_std,processed_mask_finite_fraction,processed_mask_max,processed_mask_mean,processed_mask_min,processed_mask_nonzero_pixels,processed_mask_numel,processed_mask_shape,processed_mask_std
1.0,0.017984939739108086,0.002056495286524296,0.0,628050,786432,3x512x512,0.0024337214417755604,1.0,1.0,0.0544891357421875,0.0,14284,262144,1x512x512,0.2269803285598755,0,ISPY1_1167,1.0,-0.9998589158058167,-0.9999839663505554,-1.0,786432,786432,3x512x512,1.908818376250565e-05,True,0,1.0,0.07405997812747955,9.138379391515628e-05,1.7892003825181746e-06,262144,262144,1x512x512,0.0010853856801986694,1.0,0.003921568859368563,0.00021368288435041904,0.0,14284,262144,1x512x512,0.0008901190012693405
1.0,0.014557329006493092,0.0014666990609839559,3.0518509447574615e-05,786432,786432,3x512x512,0.0017126410966739058,1.0,1.0,0.013889312744140625,0.0,3641,262144,1x512x512,0.11703161895275116,0,ISPY1_1169,1.0,-0.9998857975006104,-0.9999884963035583,-0.9999997615814209,786432,786432,3x512x512,1.3436626431939658e-05,True,0,1.0,0.028990674763917923,3.8916572520975024e-05,2.0013512767036445e-06,262144,262144,1x512x512,0.0004300425061956048,1.0,0.003921568859368563,5.4467895097332075e-05,0.0,3641,262144,1x512x512,0.000458947557490319
1.0,0.12109935283660889,0.0104821203276515,0.0,779946,786432,3x512x512,0.014887255616486073,1.0,1.0,0.087646484375,0.0,22976,262144,1x512x512,0.28278008103370667,0,ISPY1_1173,1.0,-0.9990501999855042,-0.9999178051948547,-1.0,786432,786432,3x512x512,0.00011676279245875776,True,0,1.0,0.12488703429698944,0.0011276843724772334,2.766607622106676e-06,262144,262144,1x512x512,0.00945068709552288,1.0,0.003921568859368563,0.0003437116974964738,0.0,22976,262144,1x512x512,0.0011089416220784187
1.0,0.010402996093034744,0.001273487345315516,0.0001964629045687616,786432,786432,3x512x512,0.0012432278599590063,1.0,1.0,0.0506439208984375,0.0,13276,262144,1x512x512,0.2192694991827011,0,ISPY1_1175,1.0,-0.9999184012413025,-0.9999899864196777,-0.9999984502792358,786432,786432,3x512x512,9.751502147992142e-06,True,0,1.0,0.12096259742975235,0.00020253458933439106,2.392645455984166e-06,262144,262144,1x512x512,0.0032067163847386837,1.0,0.003921568859368563,0.00019860363681800663,0.0,13276,262144,1x512x512,0.0008598804706707597
1.0,0.010982848703861237,0.0008352974546141922,0.0,775779,786432,3x512x512,0.0007546890410594642,1.0,1.0,0.01953125,0.0,5120,262144,1x512x512,0.13838273286819458,0,ISPY1_1176,1.0,-0.9999138712882996,-0.9999933838844299,-1.0,786432,786432,3x512x512,5.9188291743339505e-06,True,0,1.0,0.000330159644363448,1.635036096558906e-05,1.90092475804704e-06,262144,262144,1x512x512,1.0875336556637194e-05,1.0,0.003921568859368563,7.659313996555284e-05,0.0,5120,262144,1x512x512,0.0005426774150691926
1.0,0.01223792228847742,0.0009349861647933722,3.0518509447574615e-05,786432,786432,3x512x512,0.0008702274644747376,1.0,1.0,0.01346588134765625,0.0,3530,262144,1x512x512,0.11525862663984299,0,ISPY1_1179,1.0,-0.9999040365219116,-0.9999926686286926,-0.9999997615814209,786432,786432,3x512x512,6.829743142588995e-06,True,0,1.0,0.0002623348555061966,1.6459825928905047e-05,2.421179033262888e-06,262144,262144,1x512x512,9.233908713213168e-06,1.0,0.003921568859368563,5.280737968860194e-05,0.0,3530,262144,1x512x512,0.00045199465239420533
1.0,0.08697965741157532,0.006876533851027489,0.0,545436,786432,3x512x512,0.011485837399959564,1.0,1.0,0.011688232421875,0.0,3064,262144,1x512x512,0.10747845470905304,0,ISPY1_1180,1.0,-0.9993178248405457,-0.9999460577964783,-1.0,786432,786432,3x512x512,9.008494089357555e-05,True,0,1.0,0.1254849135875702,0.001629455597139895,2.4624025627417723e-06,262144,262144,1x512x512,0.013192511163651943,1.0,0.003921568859368563,4.583620830089785e-05,0.0,3064,262144,1x512x512,0.0004214841465000063
1.0,0.008880886249244213,0.0014623816823586822,0.00013351847883313894,786432,786432,3x512x512,0.0013623838312923908,1.0,1.0,0.04632568359375,0.0,12144,262144,1x512x512,0.21018947660923004,0,ISPY1_1181,1.0,-0.9999303221702576,-0.9999885559082031,-0.999998927116394,786432,786432,3x512x512,1.0685986126190983e-05,True,0,1.0,0.014047088101506233,3.9522594306617975e-05,2.4036621653067414e-06,262144,262144,1x512x512,0.00032408093102276325,1.0,0.003921568859368563,0.00018166936933994293,0.0,12144,262144,1x512x512,0.0008242725161835551
1.0,0.00555436871945858,0.0008675966528244317,3.0518509447574615e-05,786432,786432,3x512x512,0.0007810084498487413,1.0,1.0,0.03504180908203125,0.0,9186,262144,1x512x512,0.18388551473617554,0,ISPY1_1183,1.0,-0.9999564290046692,-0.999993085861206,-0.9999997615814209,786432,786432,3x512x512,6.131057034508558e-06,True,0,1.0,0.00021403116988949478,1.5872583389864303e-05,2.470345634719706e-06,262144,262144,1x512x512,9.85676706477534e-06,1.0,0.003921568859368563,0.00013741885777562857,0.0,9186,262144,1x512x512,0.000721119693480432
1.0,0.019755013287067413,0.0032247707713395357,0.00011825922410935163,786432,786432,3x512x512,0.002627577865496278,1.0,1.0,0.0885467529296875,0.0,23212,262144,1x512x512,0.2840884029865265,0,ISPY1_1187,1.0,-0.9998450875282288,-0.9999747276306152,-0.9999990463256836,786432,786432,3x512x512,2.060879342025146e-05,True,0,1.0,0.1221502348780632,0.0015156773151829839,2.2907904622115893e-06,262144,262144,1x512x512,0.01224514003843069,1.0,0.003921568859368563,0.0003472421958576888,0.0,23212,262144,1x512x512,0.0011140722781419754
1.0,0.006635868456214666,0.0007964579272083938,0.0,776568,786432,3x512x512,0.0008654668345116079,1.0,1.0,0.014923095703125,0.0,3912,262144,1x512x512,0.12124519050121307,0,ISPY1_1191,1.0,-0.9999479651451111,-0.9999937415122986,-1.0,786432,786432,3x512x512,6.787046913814265e-06,True,0,1.0,0.07059881836175919,0.00010645981092238799,2.454092054904322e-06,262144,262144,1x512x512,0.0019149313447996974,1.0,0.003921568859368563,5.852194590261206e-05,0.0,3912,262144,1x512x512,0.0004754713736474514
1.0,0.009115497581660748,0.0010714606614783406,8.392590098083019e-05,786432,786432,3x512x512,0.0008899849490262568,1.0,1.0,0.0149688720703125,0.0,3924,262144,1x512x512,0.12142819166183472,0,ISPY1_1193,1.0,-0.9999285340309143,-0.9999915957450867,-0.9999993443489075,786432,786432,3x512x512,6.980457783356542e-06,True,0,1.0,0.12161099910736084,0.000540531356818974,2.4075436613202328e-06,262144,262144,1x512x512,0.006742458324879408,1.0,0.003921568859368563,5.8701461966848e-05,0.0,3924,262144,1x512x512,0.00047618901589885354
1.0,0.006246757693588734,0.0008353281882591546,0.0,771018,786432,3x512x512,0.000938069773837924,1.0,1.0,0.1563873291015625,0.0,40996,262144,1x512x512,0.3632221519947052,0,ISPY1_1194,1.0,-0.9999510049819946,-0.9999935030937195,-1.0,786432,786432,3x512x512,7.356949936365709e-06,True,0,1.0,0.00017282662156503648,1.6473954019602388e-05,2.4506912268407177e-06,262144,262144,1x512x512,8.644019544590265e-06,1.0,0.003921568859368563,0.0006132836570031941,0.0,40996,262144,1x512x512,0.0014244007179513574
